gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank,consensus_tier
ZNF223,-2.923322367006019,7.745036015091236e-12,Downregulated,0.6775957885618588,0.6618752609712821,1,FDR-controlled
DEFB130,-4.009281343373804,5.346457663326095e-17,Downregulated,0.41820697943121854,0.6509241876587311,4,FDR-controlled
FAM47E-STBD1,-2.515502680029824,2.5432436501968276e-14,Downregulated,0.6720523239873161,0.6393627542218523,2,FDR-controlled
CCDC177,-3.569716855371161,1.2107406620082289e-22,Downregulated,0.3435784074745032,0.5976425782220744,7,FDR-controlled
MDGA2,-2.7515262857800153,1.2831011752316615e-17,Downregulated,0.4313012009623123,0.5366934000181532,3,FDR-controlled
GOLGA7B,-2.960552799644379,1.2768335606837975e-15,Downregulated,0.405440882056949,0.5300141686582066,5,FDR-controlled
KLK9,-3.440494991145886,7.256134614958551e-19,Downregulated,0.13412188185950558,0.43609456246093314,40,FDR-controlled
TLR9,-2.3434118793557888,6.81857294659369e-11,Downregulated,0.3746796617670718,0.4228129485956983,6,FDR-controlled
LIMS3,-3.513311194588713,7.904967469092888e-16,Downregulated,0.13383623867316868,0.4221911793008493,41,FDR-controlled
SOX7,-2.960020726317379,2.3088650044525853e-20,Downregulated,0.11496761413677459,0.38274597395755516,46,FDR-controlled
ANK2,-2.5545958467619934,5.85506424204995e-09,Downregulated,0.27028459821428574,0.361007480815426,11,FDR-controlled
RNASE11,-3.3620928793432467,1.3551034202575854e-11,Downregulated,0.1125,0.3587534648563158,49,FDR-controlled
ABCA8,-2.2817289063912662,1.1476679552407353e-09,Downregulated,0.2894153225806451,0.3571487595820093,10,FDR-controlled
SOGA3,-1.9764975010069374,1.9158913681950352e-16,Downregulated,0.2677631289887051,0.355592427700268,12,FDR-controlled
MUC3A,-2.955275215889787,5.747789184935056e-14,Downregulated,0.13413461538461538,0.35535187484642167,39,FDR-controlled
CRYBG3,-2.599215340933002,1.6659976610094742e-10,Downregulated,0.21132239736070382,0.34319379171240494,18,FDR-controlled
HOXC4,-1.7475758058061226,3.0576312664049054e-10,Downregulated,0.3287583422656537,0.3412353373056547,9,FDR-controlled
ZNF709,-1.8676462315461793,2.9313415773658647e-16,Downregulated,0.23731621561039185,0.3258621207234462,16,FDR-controlled
CELF6,-2.066214423495091,1.5140043339712926e-10,Downregulated,0.23805186311595272,0.3151342981625175,15,FDR-controlled
TK1,2.570457727668303,7.416762816168829e-08,Upregulated,0.19683091692789967,0.30672112538086654,22,FDR-controlled
MRPL30,-1.14762453631712,4.004606556632661e-11,Downregulated,0.337581523877264,0.30034009825359276,8,FDR-controlled
TROAP,2.1124658824652283,3.025397625334179e-06,Upregulated,0.25750480025129807,0.2931856328243081,13,FDR-controlled
HIST1H2BL,2.505498942957855,4.323183225009274e-05,Upregulated,0.24024028709627088,0.29152003643543917,14,FDR-controlled
SIGLEC5,-2.358265563946933,7.45743953079654e-14,Downregulated,0.12094488537161402,0.29125155099431554,45,FDR-controlled
SLC5A3,-2.3586827997779922,1.7728844949028028e-07,Downregulated,0.20329670329670332,0.29112289449259054,19,FDR-controlled
CXCL10,2.8977589877534187,1.0921883424707682e-08,Upregulated,0.10524193548387098,0.28567148441469276,54,FDR-controlled
LTB4R2,-2.215431553830875,8.99227882492243e-14,Downregulated,0.1314096850861557,0.28383764115609655,43,FDR-controlled
KRT222,-2.250025643650968,1.8913642994735434e-13,Downregulated,0.1125,0.2738603272680552,50,FDR-controlled
TMEM239,-1.8213132712711684,5.555506317552624e-12,Downregulated,0.18961026153457072,0.2735918400215754,24,FDR-controlled
ISG15,3.089380754641195,2.8761472047438963e-07,Upregulated,0.09166666666666666,0.2735711524907569,83,FDR-controlled
ZNF763,-2.2056413165910653,1.381693862120593e-11,Downregulated,0.13691367165612744,0.2731649227098327,38,FDR-controlled
COL11A1,3.1470055107106774,4.4578998180400326e-06,Upregulated,0.1104834246263474,0.2700068777690201,51,FDR-controlled
UGT2A1,-2.188348790293204,2.916542801416795e-12,Downregulated,0.10514705882352941,0.2568526097032341,57,FDR-controlled
NTRK2,-2.3938943802725072,3.0576312664049054e-10,Downregulated,0.09845213319458897,0.25630089729345806,62,FDR-controlled
HIST1H2BO,3.2799920759683103,2.2265847477437024e-05,Upregulated,0.0920866935483871,0.2541944548844821,73,FDR-controlled
MRPS17,-1.3934304288148516,2.4442272206515693e-09,Downregulated,0.23088153503893216,0.24895146765684772,17,FDR-controlled
HIST1H3J,2.9055818405887033,3.1767622683972755e-06,Upregulated,0.09196247464503042,0.24559661476781539,80,FDR-controlled
NUSAP1,2.225107038795645,2.1651107431727332e-07,Upregulated,0.1390625,0.24212598866315052,36,FDR-controlled
HIST2H2AA4,3.269210698885967,0.00012503294143195325,Upregulated,0.09843750000000001,0.24106834296287027,64,FDR-controlled
FN1,2.51721278918469,8.114588194097031e-08,Upregulated,0.08610703812316717,0.2359551927054482,97,FDR-controlled
MYOCD,-1.963015366893306,1.1296587503230049e-05,Downregulated,0.17831619685067962,0.2295466918168062,27,FDR-controlled
SAC3D1,1.6551689826373401,4.751829567982511e-07,Upregulated,0.1899920989537925,0.22939650627503103,23,FDR-controlled
ITIH5,-1.49285728894022,1.8180457981264663e-07,Downregulated,0.20050149091894826,0.2272823226101364,20,FDR-controlled
TMEM132A,2.235044542626043,7.47870099985362e-08,Upregulated,0.09785863687378842,0.22269004764538214,71,FDR-controlled
KIAA0391,-2.023370048968248,1.1200473838936222e-07,Downregulated,0.12392796286051865,0.22125587734624844,44,FDR-controlled
ESPL1,1.6090767773035934,1.0018801203318191e-05,Upregulated,0.1971583128142142,0.2192462827915499,21,FDR-controlled
TM9SF1,-1.9328388594285943,4.2537554970954787e-07,Downregulated,0.13752239140170172,0.21771730696055505,37,FDR-controlled
MFRP,-1.930123349728337,9.255445416417888e-09,Downregulated,0.10524193548387098,0.2119043723802284,53,FDR-controlled
TMEM236,-1.474945383500387,2.6189609500043534e-16,Downregulated,0.105,0.20804720386813352,60,FDR-controlled
UBE2T,1.769478954944093,5.670913843828713e-06,Upregulated,0.1484775569441097,0.20260290321567984,33,FDR-controlled
