,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
CCDC177,CCDC177,-3.569716855371161,8.030914446857447e-27,1.2107406620082289e-22,Downregulated,paired_ttest,1.0319589652862273,4.6016758206573884,21.916948871820086,Transcriptional Driver
LCN6,LCN6,-3.684848167235288,8.613975674256105e-25,6.493214863254253e-21,Downregulated,paired_ttest,2.2934904794979345,5.9783386467332225,20.187540225899497,Transcriptional Driver
SOX7,SOX7,-2.960020726317379,4.594451454867177e-24,2.3088650044525853e-20,Downregulated,paired_ttest,4.184665999195766,7.144686725513145,19.6366014588261,Transcriptional Driver
KLK9,KLK9,-3.440494991145886,1.9252148089568984e-22,7.256134614958551e-19,Downregulated,paired_ttest,1.2246809935007437,4.66517598464663,18.13929466889292,Transcriptional Driver
MDGA2,MDGA2,-2.7515262857800153,4.2554430062074206e-21,1.2831011752316615e-17,Downregulated,paired_ttest,2.1781174427104015,4.929643728490417,16.89173909723973,Transcriptional Driver
DEFB130,DEFB130,-4.009281343373804,2.127802200846151e-20,5.346457663326095e-17,Downregulated,paired_ttest,0.7868023154442496,4.796083658818053,16.27193386784851,Transcriptional Driver
OC90,OC90,-2.9150769730524737,4.0500115444401425e-20,8.722567720568513e-17,Downregulated,paired_ttest,2.5819153958826146,5.496992368935088,16.059355650076466,Transcriptional Driver
SOGA3,SOGA3,-1.9764975010069374,1.016657664205378e-19,1.9158913681950352e-16,Downregulated,paired_ttest,3.587294604203069,5.563792105210006,15.717629119229782,Transcriptional Driver
TMEM236,TMEM236,-1.474945383500387,1.5634550643432726e-19,2.6189609500043534e-16,Downregulated,paired_ttest,5.405468198175285,6.880413581675672,15.581870977070782,Transcriptional Driver
ZNF709,ZNF709,-1.8676462315461793,1.9443762121025899e-19,2.9313415773658647e-16,Downregulated,paired_ttest,4.409539732550926,6.2771859640971055,15.532933572035201,Transcriptional Driver
LIMS3,LIMS3,-3.513311194588713,5.767752862829781e-19,7.904967469092888e-16,Downregulated,paired_ttest,3.5720805031319474,7.08539169772066,15.102099912957897,Transcriptional Driver
GOLGA7B,GOLGA7B,-2.960552799644379,1.0163175065140336e-18,1.2768335606837975e-15,Downregulated,paired_ttest,3.5457905395618123,6.506343339206191,14.893865710714342,Transcriptional Driver
FAM47E-STBD1,FAM47E-STBD1,-2.515502680029824,2.1930331289837333e-17,2.5432436501968276e-14,Downregulated,paired_ttest,3.9648121317508194,6.4803148117806435,13.594612031146706,Transcriptional Driver
MUC3A,MUC3A,-2.955275215889787,5.337559603946059e-17,5.747789184935056e-14,Downregulated,paired_ttest,3.8971872357304966,6.8524624516202834,13.24049916912139,Transcriptional Driver
SIGLEC5,SIGLEC5,-2.358265563946933,7.419845646189182e-17,7.45743953079654e-14,Downregulated,paired_ttest,2.8648388357435453,5.223104399690478,13.127410259460751,Transcriptional Driver
LTB4R2,LTB4R2,-2.215431553830875,9.543410798537998e-17,8.99227882492243e-14,Downregulated,paired_ttest,6.134355929984173,8.349787483815048,13.04613023533286,Transcriptional Driver
ANKRD18A,ANKRD18A,-2.0775093562243905,1.2811433239620886e-16,1.1361480442383793e-13,Downregulated,paired_ttest,5.514894606253614,7.592403962478005,12.944565074781073,Transcriptional Driver
CDRT1,CDRT1,-2.8405979478021055,1.9089073147914748e-16,1.5988159265442375e-13,Downregulated,paired_ttest,3.4753289581597495,6.315926905961855,12.79620153418237,Transcriptional Driver
KRT222,KRT222,-2.250025643650968,2.383650947863978e-16,1.8913642994735434e-13,Downregulated,paired_ttest,1.9534292390142391,4.203454882665207,12.723224812766142,Transcriptional Driver
