gene,gene_name,approved_drugs,drug_class,mechanism,indication,evidence_tier,clinical_action
TACSTD2,TROP2 (Trophoblast cell-surface antigen 2),Sacituzumab govitecan (Trodelvy); Dato-DXd (Datopotamab deruxtecan - Phase III),Antibody-Drug Conjugate (ADC),Anti-Trop-2 humanized mAb conjugated to SN-38 or topoisomerase I inhibitor DXd,Advanced NSCLC (Phase III TROPION-Lung01) and metastatic carcinomas,Tier 2: Advanced Clinical Trials & Standard in Carcinomas,High expression predicts response to novel Trop-2 targeted antibody-drug conjugates
EPCAM,Epithelial Cell Adhesion Molecule,Catumaxomab (Removab); Adecatumumab (investigational),Bispecific Monoclonal Antibody (anti-EpCAM x anti-CD3),Redirects T-cells to lyse EpCAM-positive carcinoma cells,Malignant pleural effusions and ascites in epithelial carcinomas,Tier 2: Investigational & Targeted Clinical Trials,Universal epithelial carcinoma target for bispecific antibodies and CAR-T trials
KRAS,KRAS Proto-Oncogene GTPase,Sotorasib (Lumakras); Adagrasib (Krazati),Small Molecule Covalent KRAS G12C Inhibitors,Irreversible binding to the switch-II pocket of GDP-bound KRAS G12C locking it in an inactive state,Locally advanced or metastatic NSCLC with KRAS G12C mutation after systemic therapy,Tier 1: FDA-Approved Targeted Therapy,Confirms KRAS G12C actionable mutation for selective covalent inhibition
BRAF,B-Raf Proto-Oncogene Serine/Threonine Kinase,Dabrafenib (Tafinlar) + Trametinib (Mekinist),BRAF Inhibitor + MEK Inhibitor Combination,Dual inhibition of BRAF kinase and downstream MEK1/2 preventing ERK reactivation,Metastatic NSCLC with BRAF V600E mutation,Tier 1: FDA-Approved Standard of Care,Detects BRAF V600E driver requiring dual pathway targeted combination
EGFR,Epidermal Growth Factor Receptor (ErbB-1 / HER1),Osimertinib (Tagrisso); Gefitinib (Iressa); Erlotinib (Tarceva); Afatinib (Gilotrif),1st/2nd/3rd-Generation EGFR Tyrosine Kinase Inhibitors (TKIs),Covalent/ATP-competitive inhibition of EGFR kinase domain suppressing downstream MAPK and PI3K signaling,Metastatic Non-Small Cell Lung Cancer (NSCLC) with sensitizing EGFR exon 19 del or L858R mutations,Tier 1: FDA-Approved Standard of Care,Primary actionable oncogenic driver; dictates first-line Osimertinib therapy
VEGFA,Vascular Endothelial Growth Factor A,Bevacizumab (Avastin); Ramucirumab (Cyramza),Anti-VEGF / Anti-VEGFR2 Monoclonal Antibodies,Neutralizes VEGF-A / blocks VEGFR2 preventing endothelial proliferation and angiogenesis,Non-squamous advanced NSCLC in combination with platinum chemotherapy,Tier 1: FDA-Approved Standard of Care,High expression indicates angiogenic tumor vasculature and benefit from Bevacizumab
TOP2A,DNA Topoisomerase II Alpha,Etoposide (Toposar / VePesid); Doxorubicin,Topoisomerase II Inhibitors,Stabilizes topoisomerase II-DNA cleavage complexes causing lethal double-strand breaks,First-line chemotherapy in lung carcinomas (Etoposide + Platinum),Tier 1: Clinical Guideline Established,High expression correlates with heightened sensitivity to Etoposide-based regimens
PTEN,Phosphatase and Tensin Homolog,Capivasertib (Truqap); Alpelisib (Piqray),Pan-AKT Inhibitor / PI3K Alpha Inhibitor,Inhibition of AKT1/2/3 phosphorylation downstream of PTEN loss,Advanced solid tumors and carcinomas with PTEN deficiency,Tier 1: Targeted Therapy,Loss of PTEN activates PI3K/AKT pathway; biomarker for Capivasertib/AKT inhibition
ALK,Anaplastic Lymphoma Receptor Tyrosine Kinase,Alectinib (Alecensa); Brigatinib (Alunbrig); Lorlatinib (Lorbrena); Crizotinib (Xalkori),2nd/3rd-Generation ALK Kinase Inhibitors,Potent inhibition of ALK tyrosine kinase activity and blood-brain barrier penetration,Metastatic NSCLC harboring ALK rearrangements (EML4-ALK fusions),Tier 1: FDA-Approved Standard of Care,Rearrangement dictates immediate first-line Alectinib/Lorlatinib targeted therapy
MET,MET Proto-Oncogene Receptor Tyrosine Kinase (c-Met),Capmatinib (Tabrecta); Tepotinib (Tepmetko),Selective MET Tyrosine Kinase Inhibitors,ATP-competitive inhibition of MET autophosphorylation preventing oncogenic downstream signaling,Metastatic NSCLC with MET exon 14 skipping mutations,Tier 1: FDA-Approved Targeted Therapy,Overexpression or exon 14 skipping guides Capmatinib/Tepotinib treatment
RET,Ret Proto-Oncogene Receptor Tyrosine Kinase,Selpercatinib (Retevmo); Pralsetinib (Gavreto),Highly Selective RET Tyrosine Kinase Inhibitors,Potent ATP-competitive inhibition of RET wild-type and oncogenic fusion isoforms,"Metastatic NSCLC with RET fusions (e.g. KIF5B-RET, CCDC6-RET)",Tier 1: FDA-Approved Targeted Therapy,Rearrangement indicates high sensitivity to selective RET kinase inhibition
CD274,Programmed Cell Death 1 Ligand 1 (PD-L1 / B7-H1),Pembrolizumab (Keytruda); Atezolizumab (Tecentriq); Cemiplimab (Libtayo),Immune Checkpoint Monoclonal Antibodies (anti-PD-1 / anti-PD-L1),Blocks PD-1/PD-L1 interaction to reverse T-cell exhaustion and restore antitumor cytotoxicity,First-line monotherapy or chemo-immunotherapy for advanced/metastatic NSCLC,Tier 1: FDA-Approved Standard of Care,Tumor Proportion Score (TPS >= 50%) establishes first-line immunotherapy eligibility
CDK4,Cyclin-Dependent Kinase 4,Palbociclib (Ibrance); Ribociclib (Kisqali); Abemaciclib (Verzenio),Small Molecule Selective CDK4/6 Inhibitors,Selective ATP-competitive inhibition of CDK4 and CDK6 preventing Rb phosphorylation and G1/S arrest,Carcinomas and solid tumors with intact Rb / CDKN2A loss,Tier 1: FDA-Approved Standard of Care,Elevated CDK4/Cyclin D1 signaling indicates sensitivity to CDK4/6 blockade
ERBB2,HER2 / Receptor Tyrosine-Protein Kinase erbB-2,Trastuzumab deruxtecan (T-DXd / Enhertu); Trastuzumab (Herceptin),Antibody-Drug Conjugate & Monoclonal Antibody,Targeting extracellular domain of HER2 delivering topoisomerase I inhibitor payload,Unresectable or metastatic NSCLC with activating HER2 (ERBB2) mutations (FDA Approved),Tier 1: FDA-Approved Standard of Care,Activating mutations define immediate indication for T-DXd in lung cancer
KRT19,Keratin 19 / Cytokeratin 19 (CYFRA 21-1),CYFRA 21-1 ECLIA / ELISA In Vitro Diagnostic (IVD) Assay,Diagnostic Serum Biomarker Companion Assay,Serum measurement of soluble cytokeratin 19 fragments released by dying carcinoma cells,"Monitoring treatment response, residual disease, and recurrence in NSCLC",Tier 1: International Clinical Diagnostic Benchmark,Established blood biomarker for monitoring therapeutic response in lung cancer
