gene,RF_importance,GB_importance,L1_importance,ensemble_score,ml_rank
CDH3,0.015,0.0,0.09677814305226934,0.5425588733557609,1
RFC3,0.005,0.15079112342035356,0.0,0.4337092019659274,2
ABCA8,0.005,0.0,0.2091169426410175,0.35000000000000003,3
C2CD4A,0.0,0.18602460840682244,0.0,0.35,4
CEMIP,0.005,3.9145309085448854e-07,0.18201610996758819,0.32408142807575735,5
GPSM2,0.01,1.3056185972576815e-06,0.021261711213968255,0.320337213625762,6
CA2,0.01,0.01066830696647413,0.0,0.32007211556709836,7
TBX3,0.01,0.0,0.00952686815942001,0.3091115220403489,8
SNAI2,0.005,0.08107269621475036,0.0,0.30253596778501246,9
S100A2,0.01,0.0011716355862141485,0.0,0.30220439897004464,10
FGL2,0.01,0.00019319279224186842,0.0,0.30036348673363034,11
MYH11,0.01,1.942276648942005e-06,0.0,0.30000365433817044,12
RRM2,0.01,2.6239534398229814e-07,0.0,0.3000004936893629,13
ACAT1,0.01,1.4474398943082751e-09,0.0,0.30000000272331695,14
DHRS11,0.01,0.0,0.0,0.30000000000000004,15
SLCO1B3,0.01,0.0,0.0,0.30000000000000004,16
PPA1,0.01,0.0,0.0,0.30000000000000004,17
MYLK,0.01,0.0,0.0,0.30000000000000004,18
SH2B3,0.01,0.0,0.0,0.30000000000000004,19
TKT,0.01,0.0,0.0,0.30000000000000004,20
CREBRF,0.01,0.0,0.0,0.30000000000000004,21
CLIC5,0.01,0.0,0.0,0.30000000000000004,22
WNT2B,0.01,0.0,0.0,0.30000000000000004,23
RCAN2,0.01,0.0,0.0,0.30000000000000004,24
C15orf48,0.01,0.0,0.0,0.30000000000000004,25
MXI1,0.01,0.0,0.0,0.30000000000000004,26
FOLR2,0.01,0.0,0.0,0.30000000000000004,27
CYLD,0.01,0.0,0.0,0.30000000000000004,28
CES2,0.01,0.0,0.0,0.30000000000000004,29
WASF3,0.01,0.0,0.0,0.30000000000000004,30
MYC,0.005,0.05385725862602935,0.0,0.25133089745785997,31
SPIB,0.005,0.0,0.10031459923889705,0.24594114945636236,32
SNORD88C,0.005,0.043936048305429375,0.0,0.23266442294167095,33
MRPL3,0.0,0.12245804939742172,0.0,0.23040133053453424,34
LOC101928634,0.005,0.036384856066111027,0.0,0.21845706991243324,35
RNF43,0.005,1.7668130400229843e-07,0.056819523305191966,0.2043426755974335,36
GTF2IRD1,0.005,0.0,0.04846330195090329,0.19635043085351367,37
MGAT4A,0.0,0.09958603160109493,0.00876040300000262,0.1957467535060721,38
OLA1,0.005,0.01953712958040872,0.0,0.18675855260067986,39
AXIN2,0.0,0.0,0.18942224840472097,0.18116394206269015,40
UTP4,0.005,0.006122433514528734,0.01501641040229357,0.17588091903916356,41
SORD,0.005,0.0,0.018124889767890517,0.1673346927694948,42
SYNE3,0.005,0.0,0.006625738149023886,0.15633687358407686,43
NFE2L3,0.005,0.0031936943210516934,0.0,0.15600884486166242,44
PAICS,0.005,0.0021444754046074056,0.0,0.15403476936756216,45
RMND5A,0.005,0.0,0.002646130291828504,0.15253076604736998,46
TCN1,0.005,0.0009588701879438844,0.0,0.15180408693588765,47
SLC12A2,0.005,0.00013906807495223634,0.0,0.15026165262031807,48
SLC30A10,0.005,8.675955994678283e-05,0.0,0.15016323563985132,49
FBLN1,0.005,4.7600971666407936e-05,0.0,0.15008955987181444,50
CDKN2B,0.005,7.864568889612589e-06,0.0,0.15001479696226722,51
PDE3A,0.005,5.591953760949116e-06,0.0,0.15001052110166013,52
LMBRD1,0.005,1.0641307804636505e-06,0.0,0.15000200213174136,53
TP53INP2,0.005,7.144775181750889e-07,0.0,0.15000134426909165,54
DARS,0.005,2.4390296395971804e-07,0.0,0.15000045889647676,55
NAAA,0.005,1.9488184838609805e-08,0.0,0.1500000366664645,56
STAMBPL1,0.005,1.7679079129362984e-09,0.0,0.1500000033262684,57
SPPL2A,0.005,6.503757068590967e-10,0.0,0.1500000012236634,58
POLR1D,0.005,5.324824399501673e-10,0.0,0.15000000100185057,59
AJUBA,0.005,4.359596362274166e-10,0.0,0.15000000082024564,60
HHLA2,0.005,0.0,0.0,0.15000000000000002,61
IL10RB,0.005,0.0,0.0,0.15000000000000002,62
NOP14,0.005,0.0,0.0,0.15000000000000002,63
GLIPR2,0.005,0.0,0.0,0.15000000000000002,64
SETBP1,0.005,0.0,0.0,0.15000000000000002,65
CENPW,0.005,0.0,0.0,0.15000000000000002,66
ASUN,0.005,0.0,0.0,0.15000000000000002,67
NLE1,0.005,0.0,0.0,0.15000000000000002,68
NKX2-3,0.005,0.0,0.0,0.15000000000000002,69
LIFR,0.005,0.0,0.0,0.15000000000000002,70
NIT2,0.005,0.0,0.0,0.15000000000000002,71
GPM6B,0.005,0.0,0.0,0.15000000000000002,72
ESPN,0.005,0.0,0.0,0.15000000000000002,73
ECT2,0.005,0.0,0.0,0.15000000000000002,74
FAM126B,0.005,0.0,0.0,0.15000000000000002,75
CA4,0.005,0.0,0.0,0.15000000000000002,76
NAT10,0.005,0.0,0.0,0.15000000000000002,77
CPNE8,0.005,0.0,0.0,0.15000000000000002,78
AQP8,0.005,0.0,0.0,0.15000000000000002,79
GGCT,0.005,0.0,0.0,0.15000000000000002,80
CLDN2,0.005,0.0,0.0,0.15000000000000002,81
ABCG2,0.005,0.0,0.0,0.15000000000000002,82
CLDN23,0.005,0.0,0.0,0.15000000000000002,83
GRAMD3,0.005,0.0,0.0,0.15000000000000002,84
CPQ,0.005,0.0,0.0,0.15000000000000002,85
GINS1,0.005,0.0,0.0,0.15000000000000002,86
DDX20,0.005,0.0,0.0,0.15000000000000002,87
FAIM,0.005,0.0,0.0,0.15000000000000002,88
ABI3BP,0.005,0.0,0.0,0.15000000000000002,89
LINC01082,0.005,0.0,0.0,0.15000000000000002,90
DCAF13,0.005,0.0,0.0,0.15000000000000002,91
EXT1,0.005,0.0,0.0,0.15000000000000002,92
CERK,0.005,0.0,0.0,0.15000000000000002,93
DLGAP1-AS2,0.005,0.0,0.0,0.15000000000000002,94
ATP1B3,0.005,0.0,0.0,0.15000000000000002,95
MSH2,0.005,0.0,0.0,0.15000000000000002,96
BEX4,0.005,0.0,0.0,0.15000000000000002,97
IDS,0.005,0.0,0.0,0.15000000000000002,98
MS4A8,0.005,0.0,0.0,0.15000000000000002,99
GGTA1P,0.005,0.0,0.0,0.15000000000000002,100
