gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank,ai_annotation,annotation_model,annotation_verified
COL10A1,4.016099620621753,2.669425904215577e-23,Upregulated,0.8407269505642336,0.8784989608811178,1,"COL10A1 encodes the alpha-1 chain of type X collagen, which is primarily involved in endochondral ossification and is typically expressed in hypertrophic cartilage. In the context of Non-Small Cell Lung Cancer (NSCLC), COL10A1 has been reported to be upregulated, which is consistent with its role in promoting tumor progression and metastasis. The observed upregulation (log2FC = 4.02, adjusted p-value = 2.67e-23) aligns with findings in the literature that suggest COL10A1 contributes to the aggressive behavior of various cancers, including NSCLC.",openai/gpt-4o-mini,False
TNNC1,-3.1305790423332045,1.05365079903895e-26,Downregulated,0.5978696939002686,0.6627508720011522,3,"The TNNC1 gene encodes the troponin C protein, which is involved in muscle contraction by regulating the interaction between actin and myosin in striated muscle. In the context of Non-Small Cell Lung Cancer (NSCLC), TNNC1 is reported to be downregulated, which aligns with findings in the literature indicating that decreased expression of this gene may be associated with tumor progression and poor prognosis. Thus, the observed downregulation (log2FC = -3.13, adjusted p-value = 1.05e-26) is consistent with published studies linking TNNC1 to NSCLC.",openai/gpt-4o-mini,False
AGER,-3.9525085718599176,1.0268992870474246e-30,Downregulated,0.2985403460172475,0.5791242076103486,17,"AGER encodes the Advanced Glycation End Products (AGE) receptor, which is involved in various cellular processes, including inflammation and apoptosis. In the context of Non-Small Cell Lung Cancer (NSCLC), AGER is downregulated, which is consistent with findings that suggest reduced expression may contribute to tumor progression and poor prognosis. This downregulation aligns with published literature indicating that lower AGER levels are associated with increased malignancy in NSCLC.",openai/gpt-4o-mini,False
SPOCK2,-1.8957779441090628,5.4270545730821996e-33,Downregulated,0.48526887267728713,0.4869787829015658,4,[Annotation unavailable — API error: URLError],openai/gpt-4o-mini,False
GPIHBP1,-2.303101681956571,1.1019079084402744e-26,Downregulated,0.3845308251873301,0.4543373730276491,12,[Annotation unavailable — API error: URLError],openai/gpt-4o-mini,False
GPM6A,-2.7152797492064176,1.320905177248605e-29,Downregulated,0.29908411111445726,0.45132350819785394,16,[Annotation unavailable — API error: URLError],openai/gpt-4o-mini,False
CLIC5,-1.8388893178911738,2.0023033283707302e-26,Downregulated,0.45,0.44802231579153096,5,[Annotation unavailable — API error: URLError],openai/gpt-4o-mini,False
RTKN2,-1.9530046635859222,2.18788934514362e-29,Downregulated,0.40653408439888644,0.4390453537794947,9,[Annotation unavailable — API error: URLError],openai/gpt-4o-mini,False
CA4,-3.1987486194626706,6.863357467657594e-32,Downregulated,0.1668057969940182,0.427310481250194,39,"The CA4 gene encodes carbonic anhydrase IV, an enzyme that catalyzes the reversible hydration of carbon dioxide and plays a role in pH regulation and ion transport. In the context of Non-Small Cell Lung Cancer (NSCLC), CA4 is reported to be downregulated, which is consistent with findings in the literature indicating that decreased expression of CA4 may contribute to tumor progression and altered tumor microenvironment. This downregulation aligns with the observed log2 fold change of -3.20 and a highly significant adjusted p-value, supporting its potential role as a tumor suppressor in NSCLC.",openai/gpt-4o-mini,False
CCBE1,-1.9272893748856816,1.8412787234127355e-29,Downregulated,0.38845565359561474,0.42577235604511704,11,"The CCBE1 gene encodes the collagen and calcium-binding EGF domain-containing protein 1, which is involved in the regulation of lymphangiogenesis and extracellular matrix remodeling. In the context of Non-Small Cell Lung Cancer (NSCLC), CCBE1 is reported to be downregulated, which is consistent with findings that suggest reduced expression may correlate with tumor progression and poor prognosis. This downregulation aligns with published literature indicating that lower levels of CCBE1 can contribute to enhanced tumor growth and metastasis in various cancers, including NSCLC.",openai/gpt-4o-mini,False
