gene,gene,log2FC,pvalue,adj_pvalue,regulation,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
RBP4,RBP4,-3.5408913758119223,2.6251577506471954e-17,3.439219169122891e-13,Downregulated,6.565466870671324,10.106358246483246,12.463540147263842,Transcriptional Driver
PPP1R1A,PPP1R1A,-3.2003732765688593,5.616441835768875e-17,3.6790502245204016e-13,Downregulated,6.660696656831265,9.861069933400124,12.434264283361268,Transcriptional Driver
PCDH9,PCDH9,-1.7668095319371329,2.1618712872747668e-16,9.440891911528906e-13,Downregulated,7.846651079139379,9.613460611076512,12.024986974562358,Transcriptional Driver
EPCAM,EPCAM,2.3882132247592462,2.6402845305952815e-15,6.505691704360686e-12,Upregulated,11.081170184715942,8.692956959956696,11.186706521175186,Transcriptional Driver
ANGPTL4,ANGPTL4,-2.1258659173100884,2.9794786830138244e-15,6.505691704360686e-12,Downregulated,6.2713433451381295,8.397209262448218,11.186706521175186,Transcriptional Driver
KRT19,KRT19,4.683268941636604,2.8884700634788065e-15,6.505691704360686e-12,Upregulated,10.60653980959322,5.923270867956616,11.186706521175186,Transcriptional Driver
ACACB,ACACB,-2.1025443046654004,4.4979154681023055e-15,8.271607898980447e-12,Downregulated,8.604248840205459,10.70679314487086,11.08241006072803,Transcriptional Driver
PCOLCE2,PCOLCE2,-2.5482773843802526,5.0509780315887014e-15,8.271607898980447e-12,Downregulated,8.617044309292249,11.165321693672501,11.08241006072803,Transcriptional Driver
HCAR3,HCAR3,-1.622052156894707,8.263760160358361e-15,1.2029280206761655e-11,Downregulated,8.212398919510271,9.834451076404978,10.91976035866048,Transcriptional Driver
CD24,CD24,1.6318845388306187,2.026271520702693e-14,2.6546183192725982e-11,Upregulated,11.2126389551939,9.58075441636328,10.575997912906352,Transcriptional Driver
GYG2,GYG2,-1.6714800442748228,3.082515371118204e-14,3.6712758070017806e-11,Downregulated,9.287013390776261,10.958493435051084,10.43518298761274,Transcriptional Driver
