gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank
SPOCK2,-1.8856525000000008,5.321586079175405e-33,Downregulated,0.8884121246159846,0.7290392829193906,1
COL10A1,4.028262666666667,3.859818095086526e-23,Upregulated,0.30819015271303696,0.5616187482961129,3
AGER,-3.930266833333328,1.1691420825600583e-30,Downregulated,0.16005064457658533,0.49603038674595124,10
CA4,-3.186077333333337,1.3237127502045398e-31,Downregulated,0.1656868424131996,0.42651938930651856,9
NCKAP5,-3.105128999999999,6.430386493937018e-31,Downregulated,0.0933020491961863,0.3727731435450722,39
TNNC1,-3.117189333333335,2.760414233302587e-26,Downregulated,0.10631155709922856,0.36694568116651616,32
GRK5,-1.350903791666667,1.1484977675411222e-33,Downregulated,0.36027231615499944,0.35736824413707957,2
GPIHBP1,-2.2897235,1.309995021730438e-26,Downregulated,0.21679198449470943,0.3535823047207765,7
SERTM1,-2.7189875,2.6308298705099014e-23,Downregulated,0.15808435624957104,0.3496891614726366,12
RTKN2,-1.9467224999999981,9.70451296725594e-29,Downregulated,0.23383883765078717,0.3347317403679283,6
IGSF10,-2.3671230833333334,4.362879013159912e-28,Downregulated,0.15123728763142225,0.32556065950776836,14
GPM6A,-2.693704222222226,3.1524640243852376e-29,Downregulated,0.07264719117094784,0.3139547439640037,88
COL11A1,2.9698636666666696,2.1315585919127094e-13,Upregulated,0.12911420898446052,0.307811197968614,28
CDH5,-2.202565500000004,3.893342460929513e-24,Downregulated,0.1570727367987875,0.3029393324734857,13
ARHGEF26,-2.1870105555555552,4.822494328264514e-24,Downregulated,0.15993473907782116,0.3029352393299949,11
SGCG,-2.080493166666665,2.2557087909965156e-29,Downregulated,0.14288285623675687,0.2948515772876442,21
GCNT3,2.4747301666666672,1.9610137638321048e-18,Upregulated,0.12402139294872906,0.28937040100468747,30
SFTPC,-3.14232333333333,4.256769310775734e-12,Downregulated,0.0844161705883232,0.28505401250845747,48
EMCN,-2.479932944444445,5.858634162102554e-22,Downregulated,0.07531539802102406,0.27329388613137434,76
CAV1,-2.4321655833333313,5.641430092255908e-21,Downregulated,0.07607433573922118,0.26609173932052615,72
ANKRD29,-2.4160680833333297,2.613803262383489e-21,Downregulated,0.07553558668227633,0.2654273351281752,75
DENND3,-1.140281916666667,4.1540342283511804e-27,Downregulated,0.2554168387122515,0.2651783116418589,4
KANK3,-2.0143558333333367,5.419155653069289e-30,Downregulated,0.10202912346151068,0.26492664779162217,34
OCIAD2,1.7881208333333323,6.608415762959905e-23,Upregulated,0.1459048597409045,0.2542282005185133,18
PCAT19,-1.9868266666666674,5.28718733375368e-28,Downregulated,0.08998823137805807,0.25091223666239626,40
CCBE1,-1.9048297777777803,5.707056116645528e-29,Downregulated,0.07867076896401409,0.2378940169769951,62
GNG11,-2.02649025,1.8739186991213676e-23,Downregulated,0.0782451680815443,0.2372553383873738,67
S1PR1,-1.9871193333333297,1.211277050171625e-22,Downregulated,0.08116999261214958,0.2332647227972589,57
HIGD1B,-1.897787000000001,7.731659581416807e-26,Downregulated,0.08152516529449838,0.2325262982323254,54
GPM6B,-2.0594852500000016,1.48294598730266e-19,Downregulated,0.07043838475077831,0.22470749723468494,92
EFNA4,1.6109275000000007,7.817391815549352e-27,Upregulated,0.10211931977904344,0.21891608685909872,33
PLPP2,1.9042388333333378,3.110326165929002e-19,Upregulated,0.08060662434137908,0.21613190408540883,59
THBD,-1.922502111111112,8.56232447925446e-19,Downregulated,0.07874105563362764,0.21532151527823604,61
CAV2,-1.4802240555555564,1.890393507679774e-15,Downregulated,0.15016954600479485,0.2110472354828803,16
ACVRL1,-1.5617807499999996,3.99575955318038e-29,Downregulated,0.07828179919682357,0.20356271759892458,66
GOLM1,1.0135905833333299,2.7529004392905816e-27,Upregulated,0.17309965007923528,0.20354770071129827,8
COL6A6,-1.7812026666666654,3.1531654521667967e-18,Downregulated,0.07298606059794124,0.1979230397287556,84
KLF6,-1.2977227000000013,6.71229488344964e-19,Downregulated,0.13867694964805544,0.19687381484234617,25
RXFP1,-1.711909499999999,1.263104164449842e-19,Downregulated,0.07347295700496133,0.19591551291935622,81
HSPA12B,-1.2071211666666688,1.6169826673633135e-19,Downregulated,0.14545840391722292,0.19414287060085117,19
GGCT,1.1696894999999934,4.32491356349304e-20,Upregulated,0.14524150590279714,0.19168844543690872,20
HHIP,-1.8283337916666662,4.779288902229941e-14,Downregulated,0.07467525471190278,0.18912677622985158,77
RGS17,1.9144846666666657,4.522351966159251e-12,Upregulated,0.07303456229701692,0.18651260658408803,82
RMI2,1.5316533333333302,2.5403691341032057e-19,Upregulated,0.08116999261214958,0.18384850363691085,56
PCAT6,1.089755499999999,4.732564824903127e-17,Upregulated,0.14822803317496894,0.18111268361086372,17
MMRN2,-1.3907703888888916,1.300491176241961e-22,Downregulated,0.08495170982384985,0.1800895525654271,47
WFS1,-1.1188513333333354,1.979538509498608e-20,Downregulated,0.12733799171248253,0.17695104434477882,29
ABCC3,1.1483152000000008,7.25306440935206e-18,Upregulated,0.12953503330465319,0.17641476650505578,27
TEK,-1.3292563333333334,1.0642742918442911e-25,Downregulated,0.07864255053751784,0.1755812197281637,63
BDNF,-1.314879583333334,1.6169826673633135e-19,Downregulated,0.09612704294963675,0.17408403085351232,38
