gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank,consensus_tier,ai_annotation,annotation_model,annotation_verified
CALB1,-8.15985721544887,1.1925822347985048e-48,Downregulated,0.193587352838715,0.516152411703229,75,FDR-controlled,CALB1 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
EGLN3,3.5636935456209535,7.622844994931137e-51,Upregulated,0.5392913459282345,0.5002390110104988,1,FDR-controlled,EGLN3 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
KCNJ1,-6.973909224080651,5.517147176387478e-42,Downregulated,0.21709451656563994,0.4592507255566334,26,FDR-controlled,KCNJ1 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
ACPP,-4.2788661615961185,1.1925437190321843e-34,Downregulated,0.4221306488094078,0.44485503650986463,3,FDR-controlled,ACPP is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
CLDN8,-6.700136602976462,3.1193582551312298e-37,Downregulated,0.21709451656563994,0.4362632301749224,25,FDR-controlled,CLDN8 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
AQP2,-6.056408484282568,3.384090979845124e-49,Downregulated,0.19905670920814328,0.4171705908735321,66,FDR-controlled,AQP2 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
PFKFB4,3.117484516099676,5.142327461822159e-40,Upregulated,0.4508525545092433,0.415703984991725,2,FDR-controlled,PFKFB4 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
ENO2,4.529605396002886,1.9896439712317418e-50,Upregulated,0.2910115662737708,0.3986874878067372,12,FDR-controlled,ENO2 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
TMEM52B,-5.568909290659544,7.215432301194067e-41,Downregulated,0.2231308660777437,0.3947126530607963,24,FDR-controlled,TMEM52B is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
HRG,-5.729381168926318,1.294777779620488e-45,Downregulated,0.18808254049860695,0.3890817429989935,84,FDR-controlled,HRG is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
PDK1,2.9420660991376497,1.2573627257073825e-59,Upregulated,0.39229721169954646,0.3871042600711466,8,FDR-controlled,PDK1 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
ENPP6,-5.64971858063507,1.9505064965899275e-41,Downregulated,0.1991156350783332,0.3850647576690493,65,FDR-controlled,ENPP6 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
DMRT2,-5.533519213918669,5.696078707156173e-35,Downregulated,0.20467351526365274,0.37119280335716454,57,FDR-controlled,DMRT2 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
KCNJ10,-5.434169557784026,1.1641583407230146e-36,Downregulated,0.20505131501639645,0.37016620897142255,54,FDR-controlled,KCNJ10 is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
KISS1R,5.534587075284415,4.919993178100509e-35,Upregulated,0.1992371068681778,0.36810465110000723,63,FDR-controlled,KISS1R is a differentially expressed candidate biomarker in Clear Cell Renal Cell Carcinoma (ccRCC).,nvidia/nemotron-3-super-120b-a12b:free,False
