gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank,consensus_tier
CALB1,-8.15985721544887,1.1925822347985048e-48,Downregulated,0.193587352838715,0.516152411703229,75,FDR-controlled
EGLN3,3.5636935456209535,7.622844994931137e-51,Upregulated,0.5392913459282345,0.5002390110104988,1,FDR-controlled
KCNJ1,-6.973909224080651,5.517147176387478e-42,Downregulated,0.21709451656563994,0.4592507255566334,26,FDR-controlled
ACPP,-4.2788661615961185,1.1925437190321843e-34,Downregulated,0.4221306488094078,0.44485503650986463,3,FDR-controlled
CLDN8,-6.700136602976462,3.1193582551312298e-37,Downregulated,0.21709451656563994,0.4362632301749224,25,FDR-controlled
AQP2,-6.056408484282568,3.384090979845124e-49,Downregulated,0.19905670920814328,0.4171705908735321,66,FDR-controlled
PFKFB4,3.117484516099676,5.142327461822159e-40,Upregulated,0.4508525545092433,0.415703984991725,2,FDR-controlled
ENO2,4.529605396002886,1.9896439712317418e-50,Upregulated,0.2910115662737708,0.3986874878067372,12,FDR-controlled
TMEM52B,-5.568909290659544,7.215432301194067e-41,Downregulated,0.2231308660777437,0.3947126530607963,24,FDR-controlled
HRG,-5.729381168926318,1.294777779620488e-45,Downregulated,0.18808254049860695,0.3890817429989935,84,FDR-controlled
PDK1,2.9420660991376497,1.2573627257073825e-59,Upregulated,0.39229721169954646,0.3871042600711466,8,FDR-controlled
ENPP6,-5.64971858063507,1.9505064965899275e-41,Downregulated,0.1991156350783332,0.3850647576690493,65,FDR-controlled
DMRT2,-5.533519213918669,5.696078707156173e-35,Downregulated,0.20467351526365274,0.37119280335716454,57,FDR-controlled
KCNJ10,-5.434169557784026,1.1641583407230146e-36,Downregulated,0.20505131501639645,0.37016620897142255,54,FDR-controlled
KISS1R,5.534587075284415,4.919993178100509e-35,Upregulated,0.1992371068681778,0.36810465110000723,63,FDR-controlled
LINC00887,5.066627781801314,4.0982679650841414e-39,Upregulated,0.21111257810688525,0.36119391201371776,42,FDR-controlled
TRIB3,2.79076087081563,1.117795535147498e-28,Upregulated,0.4041307855791759,0.36083374003794755,5,FDR-controlled
/PAH,-5.428355761993531,2.9136561139624425e-31,Downregulated,0.19426336443419348,0.3526204404999012,70,FDR-controlled
CA10,-5.093824359615095,1.7844124766622233e-33,Downregulated,0.2111671785408971,0.35256812978277513,35,FDR-controlled
AHNAK2,4.1534074567698855,3.317650040442372e-44,Upregulated,0.24884816025885437,0.34792649912431234,15,FDR-controlled
EHD2,4.645470926755809,8.01103805940534e-43,Upregulated,0.211169442886162,0.34700114008250327,32,FDR-controlled
SPAG4,3.497752275905542,1.702830078851934e-36,Upregulated,0.30409116922596635,0.3413281127630563,11,FDR-controlled
ATP6V1G3,-4.8362079524449975,1.758857328431283e-37,Downregulated,0.19315484045496795,0.337173639609853,79,FDR-controlled
