gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
PDK1,PDK1,2.9420660991376497,7.583611132131377e-64,1.2573627257073825e-59,Upregulated,welch_ttest,11.967950877519224,9.025884778381574,58.90053941837707,Transcriptional Driver
PFKP,PFKP,2.896119331577868,2.764690179025422e-60,2.291928158412075e-56,Upregulated,welch_ttest,13.595121118865134,10.699001787287266,55.63979899966023,Transcriptional Driver
CA9,CA9,4.903852607419702,3.671899121077321e-59,2.029336247582066e-55,Upregulated,welch_ttest,11.465791417865619,6.561938810445917,54.69264598728374,Transcriptional Driver
SAP30,SAP30,2.5951154602037168,1.2454864508976162e-56,5.162541338970619e-53,Upregulated,welch_ttest,11.432128792150476,8.837013331946759,52.287136457715214,Transcriptional Driver
/SLC16A3,/SLC16A3,3.5515236478070147,8.351766365944267e-56,2.7694457269471193e-52,Upregulated,welch_ttest,11.708221440567092,8.156697792760077,51.557607141338146,Transcriptional Driver
PLPPR1,PLPPR1,-4.846434740602536,1.5002710146421797e-54,4.1457489037945565e-51,Downregulated,welch_ttest,5.9566490938547965,10.803083834457333,50.38239700542566,Transcriptional Driver
EGLN3,EGLN3,3.5636935456209535,3.218330214989021e-54,7.622844994931137e-51,Upregulated,welch_ttest,11.88136893585271,8.317675390231756,50.117882911206024,Transcriptional Driver
CAV2,CAV2,2.85667502535288,4.128101470906595e-54,8.555490298453918e-51,Upregulated,welch_ttest,12.879423868952044,10.022748843599164,50.067755096840415,Transcriptional Driver
ABAT,ABAT,-3.8066846772802467,7.036762254816023e-54,1.296327979831663e-50,Downregulated,welch_ttest,9.813655001143179,13.620339678423425,49.887285105093184,Transcriptional Driver
ANGPTL4,ANGPTL4,5.411175949771787,9.484906011292198e-54,1.5725974166722465e-50,Upregulated,welch_ttest,13.40748812428552,7.996312174513733,49.803382442090786,Transcriptional Driver
ENO2,ENO2,4.529605396002886,1.3200291727110472e-53,1.9896439712317418e-50,Upregulated,welch_ttest,11.308672951453477,6.779067555450592,49.70122462970219,Transcriptional Driver
HYKK,HYKK,-2.263868450991345,6.4844467672873e-53,8.959343950135285e-50,Downregulated,welch_ttest,6.872139457216508,9.136007908207853,49.04772379047933,Transcriptional Driver
LPCAT1,LPCAT1,3.302885538463638,8.60942576888529e-53,1.098032917293216e-49,Upregulated,welch_ttest,11.84140885541343,8.538523316949792,48.959384640227896,Transcriptional Driver
/PVT1,/PVT1,3.4043733697678427,1.0072937323211264e-52,1.1929235772774482e-49,Upregulated,welch_ttest,10.189328511219337,6.784955141451494,48.92338737781315,Transcriptional Driver
ANXA4,ANXA4,1.5169746788354814,1.6352453610085416e-52,1.8074912057014413e-49,Upregulated,welch_ttest,14.617833111275473,13.100858432439992,48.7429238070761,Transcriptional Driver
NDUFA4L2,NDUFA4L2,6.567466812483687,3.608259763620998e-52,3.384090979845124e-49,Upregulated,welch_ttest,12.903715108598478,6.336248296114791,48.470557969653825,Transcriptional Driver
AQP2,AQP2,-6.056408484282568,3.541207916582017e-52,3.384090979845124e-49,Downregulated,welch_ttest,6.849674336022393,12.906082820304961,48.470557969653825,Transcriptional Driver
SUCLG1,SUCLG1,-2.3179179895878157,3.673922656044163e-52,3.384090979845124e-49,Downregulated,welch_ttest,12.004952606587048,14.322870596174864,48.470557969653825,Transcriptional Driver
BHLHE41,BHLHE41,3.673077142412131,6.510895524090716e-52,5.681613041548635e-49,Upregulated,welch_ttest,12.501847803221956,8.828770660809825,48.245528348163745,Transcriptional Driver
SLC22A8,SLC22A8,-8.145882710363093,1.0050378911777624e-51,8.33176411786365e-49,Downregulated,welch_ttest,4.473587721914523,12.619470432277616,48.079263033942766,Transcriptional Driver
CALB1,CALB1,-8.15985721544887,1.5105082587918335e-51,1.1925822347985048e-48,Downregulated,welch_ttest,5.316213843961462,13.476071059410332,47.923511664373514,Transcriptional Driver
SEMA5B,SEMA5B,3.327295986602774,7.537588055847456e-51,5.680600452997764e-48,Upregulated,welch_ttest,11.475973657645676,8.148677671042902,47.2456057559015,Transcriptional Driver
/ACY1,/ACY1,-3.8196432002917664,1.245647246880102e-50,8.979491892726997e-48,Downregulated,welch_ttest,10.691753162074143,14.51139636236591,47.046748237322454,Transcriptional Driver
ST8SIA4,ST8SIA4,3.612912000138313,1.95078120038088e-50,1.3476646792631245e-47,Upregulated,welch_ttest,10.493590594473222,6.880678594334909,46.870418153840376,Transcriptional Driver
GPD1L,GPD1L,-1.9927373029656614,2.3315421688210247e-50,1.5462787663621037e-47,Downregulated,welch_ttest,9.344055068166583,11.336792371132244,46.81071220784391,Transcriptional Driver
CAV1,CAV1,3.073986565027923,5.559643976433005e-50,3.4187996435890573e-47,Upregulated,welch_ttest,13.399901650191305,10.325915085163382,46.46612634998823,Transcriptional Driver
PTH1R,PTH1R,-3.920338157790715,5.567405933468308e-50,3.4187996435890573e-47,Downregulated,welch_ttest,8.996602992145576,12.91694114993629,46.46612634998823,Transcriptional Driver
DCXR,DCXR,-3.3554973122996277,1.4676717881390215e-49,8.690713659766063e-47,Downregulated,welch_ttest,9.654224682545923,13.00972199484555,46.0609445589055,Transcriptional Driver
APEH,APEH,-1.5051312787950994,2.9767606325153588e-49,1.7018859064518846e-46,Downregulated,welch_ttest,9.396343284266122,10.901474563061221,45.769069558152275,Transcriptional Driver
ALDH6A1,ALDH6A1,-3.6371559339353503,5.421756198389159e-49,2.9964239256430752e-46,Downregulated,welch_ttest,10.996100849025687,14.633256782961038,45.52339674386198,Transcriptional Driver
