gene,RF_importance,GB_importance,L1_importance,ensemble_score,ml_rank
EGLN3,0.01864310970141755,0.0,0.19372292154097454,0.5392913459282345,1
PFKFB4,0.020158230962641497,0.00039790872682490597,0.0,0.4508525545092433,2
ACPP,0.018909793589132775,0.0,0.0,0.4221306488094078,3
AP5M1,0.018115401034936533,0.0,0.0,0.40439711603806455,4
TRIB3,0.018103470477375056,0.0,0.0,0.4041307855791759,5
PPP1R3B,0.01786631532718489,0.00026036693334957167,0.0,0.39939453837385114,6
LDHA,0.017861560697451782,0.0,0.0,0.3987305398350321,7
PDK1,0.008614159126469829,0.0,0.31470498131596586,0.39229721169954646,8
FAM169A,0.0,0.16335384175298204,0.0,0.35,9
/ZNF395,0.009451219512195123,0.03313274162743724,0.049871101345436264,0.313666928233935,10
SPAG4,0.009725714285714285,0.040595894470059096,0.0,0.30409116922596635,11
ENO2,0.009197324414715718,0.0053526974535575405,0.11679882621648036,0.2910115662737708,12
LOXL2,0.009459154929577466,0.0,0.08937985867099069,0.26796269620761315,13
PFKP,0.009998890004866583,0.00015388750172839867,0.054638027740061226,0.25826214513758095,14
AHNAK2,0.008946405706969087,0.0,0.07731369772184081,0.24884816025885437,15
C21orf33,0.0,0.11593870160395271,0.0,0.2484088842106628,16
/PVT1,0.00945945945945946,0.002863844572065434,0.04755175533827893,0.24752311154001633,17
SEMA5B,0.01,0.0,0.011386459574817796,0.2304701498588206,18
LAMP1,0.0,0.1060505336414907,0.0,0.22722261304787558,19
GRAMD4,0.01,0.0,0.0,0.2232338744575198,20
CLEC2B,0.01,0.0,0.0,0.2232338744575198,21
RASL11B,0.01,0.0,0.0,0.2232338744575198,22
APEH,0.009999947150346694,0.0,0.0,0.22323269467423265,23
TMEM52B,0.00999538562953197,0.0,0.0,0.2231308660777437,24
CLDN8,0.00972498090145149,0.0,0.0,0.21709451656563994,25
KCNJ1,0.00972498090145149,0.0,0.0,0.21709451656563994,26
ALDOA,0.009724454649827786,0.0,0.0,0.21708276884675004,27
TNNT2,0.009723076923076923,0.0,0.0,0.21705201331869617,28
SLC15A4,0.00971896955503513,0.0,0.0,0.21696032295051693,29
NDUFA4,0.009450649912675229,0.0005448492169499108,0.0,0.21213790707191701,30
PAG1,0.0,0.09863995853103058,0.0,0.21134480288542382,31
EHD2,0.009459560893225746,0.0,0.0,0.211169442886162,32
YEATS2,0.009459560893225744,0.0,0.0,0.21116944288616193,33
SMIM5,0.00945945945945946,4.954965386531312e-15,0.0,0.2111671785409077,34
CA10,0.00945945945945946,0.0,0.0,0.2111671785408971,35
SLFN11,0.00945945945945946,0.0,0.0,0.2111671785408971,36
TMEM91,0.009459154929577464,0.0,0.0,0.2111603804023525,37
HOXB-AS3,0.009459154929577464,0.0,0.0,0.2111603804023525,38
NR3C1,0.009459154929577464,0.0,0.0,0.2111603804023525,39
AIF1L,0.009458646616541354,0.0,0.0,0.2111490331335037,40
VEGFA,0.009457013574660634,0.0,0.0,0.21111257810688525,41
LINC00887,0.009457013574660634,0.0,0.0,0.21111257810688525,42
ZNF395,0.009454545454545455,0.0,0.0,0.21105748130529142,43
ARHGAP24,0.009450488358941425,0.0,0.0,0.21096691318821822,44
GAS1,0.00944838378404812,0.0,0.0,0.21091993194746636,45
STAMBPL1,0.00944541015625,0.0,0.0,0.2108535505020095,46
ISCU,0.009199406968124537,2.718639507453877e-05,0.0,0.20542017526759104,47
LOC154761,0.009200296186597557,0.0,0.0,0.20538177638909172,48
DOCK10,0.009199406968124536,0.0,0.0,0.20536192602059453,49
ITGA5,0.009198515769944342,0.0,0.0,0.2053420314583271,50
NOL3,0.009198515769944342,0.0,0.0,0.2053420314583271,51
EZH2,0.009195830230826508,0.0,0.0,0.20528208112809895,52
ATP6V1C2,0.00919402985074627,0.0,0.0,0.2052418905460182,53
KCNJ10,0.009185492816208618,0.0,0.0,0.20505131501639645,54
PLPP4,0.009183954771840086,0.0,0.0,0.20501698065604895,55
ANXA9,0.009177117818889972,0.0,0.0,0.2048643567063952,56
DMRT2,0.00916856887248987,0.0,0.0,0.20467351526365274,57
PHKA2,0.008947368421052631,0.0,0.0,0.199735571883044,58
C14orf37,0.008947368421052631,0.0,0.0,0.199735571883044,59
TMEM192,0.008946405706969088,4.812218944254642e-07,0.0,0.19971511190386962,60
ATP1A1,0.008943313153549806,0.0,0.0,0.19964504457538226,61
ATP5A1,0.008926640926640927,0.0,0.0,0.19927286399451188,62
KISS1R,0.008925039147949365,0.0,0.0,0.1992371068681778,63
LGALS1,0.008923633666787464,0.0,0.0,0.19920573176765297,64
ENPP6,0.008919597689293514,0.0,0.0,0.1991156350783332,65
AQP2,0.00891695804195804,0.0,0.0,0.19905670920814328,66
PRKCA,0.008916504519357035,0.0,0.0,0.1990465850474056,67
CASR,0.008913896230351926,0.0,0.0,0.1989883592013741,68
