Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,HIF-1 signaling pathway,6/109,2.9821543906357057e-07,1.908578810006852e-05,0,0,26.27581641659312,394.80595688931487,LDHA;EGLN3;ANGPT2;ENO2;PFKP;PDK1
KEGG_2021_Human,Collecting duct acid secretion,3/27,4.122055222407173e-05,0.0013190576711702,0,0,52.99468085106383,535.0646948580581,ATP6V1G3;ATP6V0D2;ATP6V1C2
KEGG_2021_Human,Vibrio cholerae infection,3/50,0.00026526273964070014,0.0056589384456682,0,0,27.02987777274785,222.5853605029436,ATP6V1G3;ATP6V0D2;ATP6V1C2
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,3/70,0.0007152738836628206,0.0076295880924034,0,0,18.94220387424579,137.19544727387992,ATP6V1G3;ATP6V0D2;ATP6V1C2
KEGG_2021_Human,Central carbon metabolism in cancer,3/70,0.0007152738836628206,0.0076295880924034,0,0,18.94220387424579,137.19544727387992,LDHA;PFKP;PDK1
KEGG_2021_Human,Glycolysis / Gluconeogenesis,3/67,0.0006292667740133991,0.0076295880924034,0,0,19.83311170212766,146.18897916479884,LDHA;ENO2;PFKP
KEGG_2021_Human,Synaptic vesicle cycle,3/78,0.0009802139911592198,0.0089619564905985,0,0,16.914893617021278,117.18197921679683,ATP6V1G3;ATP6V0D2;ATP6V1C2
KEGG_2021_Human,Rheumatoid arthritis,3/93,0.0016286129467617,0.0130289035740943,0,0,14.085106382978724,90.42675735150269,ATP6V1G3;ATP6V0D2;ATP6V1C2
GO_Biological_Process_2023,Regulation Of Transmembrane Transport (GO:0034762),3/32,6.928645627860575e-05,0.0198159264956812,0,0,43.84666177549523,419.9309284926422,KCNJ10;TRIB3;KCNJ1
KEGG_2021_Human,Fructose and mannose metabolism,2/33,0.0030778471463162,0.0218869130404712,0,0,26.772849462365592,154.84144163978604,PFKFB4;PFKP
KEGG_2021_Human,Oxidative phosphorylation,3/133,0.0044856884054486,0.0287084057948713,0,0,9.731587561374797,52.6173636813508,ATP6V1G3;ATP6V0D2;ATP6V1C2
KEGG_2021_Human,Phagosome,3/152,0.006496107775646,0.0377955361492131,0,0,8.482507496787091,42.72259082051396,ATP6V1G3;ATP6V0D2;ATP6V1C2
GO_Biological_Process_2023,Protein Oxidation (GO:0018158),2/10,0.00027212309342677823,0.0389136023600292,0,0,103.86458333333331,852.6509585567859,LOX;LOXL2
KEGG_2021_Human,Gastric acid secretion,2/76,0.0155171628224907,0.0821931206810971,0,0,11.19144144144144,46.62140287744705,KCNJ10;KCNJ1
KEGG_2021_Human,RNA degradation,2/79,0.0166954776383478,0.0821931206810971,0,0,10.75378787878788,44.01113934918422,ENO2;PFKP
GO_Biological_Process_2023,Negative Regulation Of Chemotaxis (GO:0050922),2/31,0.0027192556482504,0.1111010164856606,0,0,28.62212643678161,169.08226656127547,SEMA5B;ANGPT2
GO_Biological_Process_2023,Response To Copper Ion (GO:0046688),2/24,0.0016321249773357,0.1111010164856606,0,0,37.74242424242424,242.22606459531664,AQP2;LOXL2
GO_Biological_Process_2023,Regulation Of Monoatomic Ion Transport (GO:0043269),2/28,0.0022210873543451,0.1111010164856606,0,0,31.92948717948718,195.08145262248803,KCNJ10;KCNJ1
GO_Biological_Process_2023,Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034765),2/29,0.0023818121959682,0.1111010164856606,0,0,30.74537037037037,185.6987673947897,KCNJ10;KCNJ1
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),2/29,0.0023818121959682,0.1111010164856606,0,0,30.74537037037037,185.6987673947897,LDHA;ENO2
KEGG_2021_Human,Insulin resistance,2/108,0.029910476921657,0.1276180348657367,0,0,7.800314465408805,27.37556602865933,PPP1R3B;TRIB3
KEGG_2021_Human,Glucagon signaling pathway,2/107,0.0294027974439489,0.1276180348657367,0,0,7.875,27.772490481823706,LDHA;PFKP
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),2/41,0.0047194951697385,0.1415011441782097,0,0,21.272435897435894,113.93630347986566,LDHA;ENO2
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),2/42,0.0049475924537835,0.1415011441782097,0,0,20.73958333333333,110.1034239545967,LOX;LOXL2
GO_Biological_Process_2023,Potassium Ion Import Across Plasma Membrane (GO:1990573),2/42,0.0049475924537835,0.1415011441782097,0,0,20.73958333333333,110.1034239545967,KCNJ10;KCNJ1
KEGG_2021_Human,AMPK signaling pathway,2/120,0.0362706169091182,0.1450824676364729,0,0,7.002824858757062,23.22660056193845,PFKFB4;PFKP
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),2/50,0.0069502994651568,0.1807077860940793,0,0,17.276041666666668,85.84414194819459,LDHA;ENO2
GO_Biological_Process_2023,T Cell Chemotaxis (GO:0010818),1/10,0.024725948817258,0.1840270827979876,0,0,45.21768707482993,167.3010120823387,CXCL11
GO_Biological_Process_2023,Actin-Myosin Filament Sliding (GO:0033275),1/12,0.029598761568907,0.1840270827979876,0,0,36.99257884972171,130.2147194065139,TNNT2
GO_Biological_Process_2023,Calcium Ion Import (GO:0070509),1/12,0.029598761568907,0.1840270827979876,0,0,36.99257884972171,130.2147194065139,CASR
